EquipmentNumber,Region,Destination,DMFCategory,StartGridRefEN,TypeofInstall,InstallLocation,TypeOf,CounterNetwork,CounterType,active,date,longitude,latitude
100122002,WSI,Fox Glacier walk,Icon,1358280-5181900,Long term,Fox Glacier Access Road,Vehicle Counter - Low Speed,National,Counter Electronic V,red,,170.011276414726,-43.4767576834428
100122003,WSI,Not assigned,Not assigned,1371665-5191455,Long term,Franz Josef Glacier - Outbound,Vehicle Counter - Low Speed,National,Counter Electronic V,navy,2021-07-20,170.180566550275,-43.3950296293896
100122040,SSI,Milford Road Journey,Icon,1211530-5016846,Long term,Lake Gunn Nature Walk Road,Road,National,Counter Electronic V,red,,168.080075410248,-44.8957282212757
100122041,SSI,Mavora Lakes,Gateway,1222150-4971567,Long term,Mavora Lakes North Access Road,Road,National,Counter Electronic V,navy,2021-07-14,168.1799629172,-45.3075941967984
100122042,SSI,Kepler Track,Icon,1183153-4948596,Long term,Rainbow Reach Road,Road,National,Counter Electronic V,red,,167.665160631693,-45.491430239135
100122044,SSI,Rees/Dart Track,Gateway,1230193-5044397,"",Dart Road,Road,National,Counter Electronic V,navy,2021-06-16,168.335621423886,-44.6584609880955
100122045,SSI,Glenorchy/Kinloch activities,Local Treasure,1228953-5036469,Long term,Lake Sylvan Road,Road,National,Counter Electronic V,navy,2021-07-05,168.314288047637,-44.7289543449542
100122047,SSI,Sandymount tracks,Gateway,1419105-4915988,Long term,"",Road,National,Counter Electronic V,red,2018-03-26,170.668599586086,-45.8858875419619
100122049,NSI,Mt Richmond FP Wairau access backcountry,Back Country,1632439-5399147,Long term,Lake Chalice Road,Vehicle Counter - Low Speed,National,Counter Electronic V,blue,2021-05-01,173.389015368633,-41.5586897715843
100122061,NSI,Hanmer Rainbow Road/Lake Tennyson,Local Treasure,1579932-5326870,Long term,"Molesworth, Rainbow Road",Vehicle Counter - Low Speed,Regional,Counter Electronic V,red,,172.756883205156,-42.2100782008329
100122062,NSI,Puponga Farm Park,Gateway,1573591-5515711,Long term,Wharariki Carpark,Vehicle Counter - Low Speed,Regional,Counter Electronic V,blue,2021-08-15,172.688289070577,-40.5088973468453
100122064,NSI,Mount Robert,Gateway,1585141-5372108,Long term,Mount Robert Road,Vehicle Counter - Low Speed,Regional,Counter Electronic V,navy,2021-09-03,172.821133012045,-41.8027534153533
100122334,NSI,Cobb Valley,Gateway,1574204-5449584,Long term,Cobb Valley Dam Road,Vehicle Counter - Low Speed,National,Counter Electronic V,navy,2021-07-28,172.692789441229,-41.1046159777106
100122343,CNI,Karangahake,Icon,1844974-5855253,"","",,"",Counter Electronic V,red,,175.768170008553,-37.417148751411
100122344,CNI,Kaimai Mamaku FP-east walks/picnic areas,Local Treasure,1860956-5816668,"","",Road,"",Counter Electronic V,red,,175.962296569171,-37.7601074122299
100122382,NNI,Maitai Bay,Gateway,1637500-6145800,"","",Road,National,Counter Electronic V,yellow,2020-12-03,173.410100831181,-34.8293901781293
100122383,NNI,Te Paki Coastal Track,Icon,1587300-6190100,"","",Road,National,Counter Electronic V,blue,2021-04-13,172.861775309996,-34.4305062955075
100122385,NNI,Te Paki Coastal Track,Icon,1572500-6188600,"","",Road,National,Counter Electronic V,yellow,2020-07-22,172.700647750571,-34.4437453890188
100122386,NNI,Rawara campsite/walk,Local Treasure,1606837-6157735,"","",Road,National,Counter Electronic V,yellow,2020-12-02,173.074673377872,-34.7224313645537
100122574,HWT,Wires/Maratoto backcountry,Back Country,1842551-5870116,"","",Vehicle Counter - Pneumatic,"",Counter Electronic V,yellow,2020-11-03,175.735954962707,-37.2839663739122
100122884,WSI,Fox Glacier walk,Icon,1359273-5181213,Long term,Moraine Walk,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-09-01,170.023234394655,-43.483255412127
100122886,WSI,Fox Glacier activities,Local Treasure,1354794-5186050,Long term,Lake GaultTrack,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-09-06,169.970098532462,-43.4383077417817
100122940,SSI,Kepler Track,Icon,1183898-4948525,Long term,Cycle track near Rainbow Reach,Bicycle Counter - Twin Rail,Regional,Counter Electronic V,navy,2021-07-12,167.674593566685,-45.4925108028603
100122947,NSI,Hanmer Rainbow Road/Lake Tennyson,Local Treasure,1579788-5326679,Long term,Lake Tennyson Campsite,Vehicle Counter - Low Speed,Regional,Counter Electronic V,blue,2021-04-12,172.755132066905,-42.2117946846908
100122948,NSI,Takaka walks,Local Treasure,1591780-5481074,Long term,Abel Tasman Memorial Walk,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-09-03,172.902523774492,-40.8213130995957
100122949,NSI,Takaka walks,Local Treasure,1587950-5474646,Long term,Rawhiti Caves Track,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-09-04,172.85698168026,-40.8791720784984
100122950,NSI,Cobb Valley,Gateway,1567093-5446712,Long term,Cobb Valley Track,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-07-29,172.607950677065,-41.130229582581
100122951,NSI,Mount Robert,Gateway,1584556-5370638,Long term,Lake Rotoiti Lakeside Tk,Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-03-27,172.814052755038,-41.8159824078975
100122952,NSI,Pelorus Bridge,Gateway,1647589-5427327,Long term,"Pelorus Bridge, Elvy Waterfall",Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-04,173.568471454959,-41.3041110765228
100122953,NSI,Picton walks and campsites,Local Treasure,1689986-5430738,Long term,Whatamango Bay Campsite,Vehicle Counter - Low Speed,Regional,Counter Electronic V,navy,2021-07-15,174.074352841825,-41.2697761776662
100122954,NSI,Branch/Leatham backcountry,Back Country,1616891-5376399,Long term,Leatham Valley 4wd road,Vehicle Counter - Low Speed,Regional,Counter Electronic V,red,,173.203205226296,-41.7640638957659
100122980,AKL,Warkworth backcountry,Back Country,1748126-5959112,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-02-23,174.65398988001,-36.5018743908036
100122981,AKL,Rangitoto tracks,Gateway,1766339-5924894,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-02-22,174.864688636186,-36.8071928347837
100122984,AKL,Motuihe Island,Local Treasure,1773521-5924256,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-04,174.945304302401,-36.8116515145108
100123001,LNI,Gisborne walks and historic site,Local Treasure,2039089-5710578,Long term,Entry gate intoTe Kuri Walkway,Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-03-30,178.044203649633,-38.6445604929242
100123013,LNI,Manawatu Gorge walk,Gateway,1839300-5531582,Long term,50m into upper Gorge Track,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-12,175.816935854192,-40.3320180732662
100123015,LNI,Manawatu Gorge walk,Gateway,1835582-5534251,Long term,Between Junction and Whatonga,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-06,175.772234772463,-40.3090576531882
100123020,LNI,Tararua FP -Wairarapa access backcountry,Back Country,1787820-5451121,"","",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,2019-01-31,175.235523958036,-41.0694896416304
100123021,LNI,Kapiti Island Nature Reserve,Icon,1762594-5475492,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-07,174.92904606534,-40.855506686376
100123022,LNI,Kapiti Island Nature Reserve,Icon,1762849-5475956,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-06,174.93194839475,-40.8512785150021
100123023,LNI,Whareroa Farm,Gateway,1767750-5461837,Long term,"",Bicycle Counter - Twin Rail,Regional,Counter Electronic V,navy,2021-07-27,174.993874932023,-40.9774025202847
100123024,LNI,Porirua walks,Local Treasure,1760830-5447830,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-07-09,174.915322359755,-41.1049024743282
100123025,LNI,Makara Walkway,Local Treasure,1743452-5435404,Long term,Makara Road End to Opau Stream,Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-03-07,174.711370439743,-41.2200398724169
100123029,CNI,Taupo walks,Local Treasure,1873204-5720870,"","",,"",Counter Electronic V,navy,2021-07-19,176.137954382872,-38.6186397386372
100123032,CNI,Rotorua Lakes activities and campsites,Local Treasure,1895170-5753750,"","",,"",Counter Electronic V,blue,2021-08-04,176.376022401114,-38.3158028087321
100123096,NSI,Mt Fyffe/Hakpuku backcounty,Back Country,1646790-5311110,Long term,Mt Fyfe Track,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-09-02,173.568107051674,-42.3508665113181
100127485,HWT,North Egmont (Maunga Taranaki),Icon,1693995-5652692,"","",,"",Counter Electronic V,yellow,2021-03-23,174.089636550785,-39.2700247604543
100127486,HWT,Egmont National Park backcountry,Back Country,1694005-5652787,"","",,"",Counter Electronic V,yellow,2021-03-23,174.089739198581,-39.2691677917205
100127487,HWT,Pukerangiora Pa - Potential Icon,Icon,1709319-5675083,"","",,"",Counter Electronic V,blue,2021-09-05,174.263626888415,-39.0665090688942
100128107,WSI,Westport northern walks,Local Treasure,1507160-5392842,Long term,Charming Creek Walkway,Bicycle Counter - Twin Rail,National,Counter Electronic V,navy,2021-08-24,171.885755944656,-41.6107388972352
100128507,AKL,Rangitoto Summit and short walks,Icon,1769460-5928471,"","",Pedestrian Counter - Pad,"",Counter Electronic V,yellow,2021-02-22,174.898862509207,-36.7744112134237
100128508,AKL,Rangitoto tracks,Gateway,1765661-5927465,"","",Pedestrian Counter - Pad,"",Counter Electronic V,yellow,2021-02-21,174.856532475584,-36.7841470515289
100128509,AKL,Home Bay/Motutapu,Gateway,1769381-5930175,Long term,At end of timber bridge,Pedestrian Counter - Pad,Regional,Counter Electronic V,red,,174.897599258014,-36.759072593826
100128510,AKL,Kawau Island Historic Reserve,Gateway,1764199-5965844,"","",Pedestrian Counter - Pad,"",Counter Electronic V,blue,2021-07-31,174.83195523036,-36.4385922763831
100128511,CNI,Kaimai Mamaku Forest Park backcountry,Back Country,1840517-5841651,"","",Pedestrian Counter - Pad,"",Counter Electronic V,yellow,2020-08-13,175.722301326659,-37.5407827841722
100128512,CNI,Kaimai Mamaku Forest Park backcountry,Back Country,1856010-5816522,"","",Pedestrian Counter - Pad,"",Counter Electronic V,red,,175.906269455925,-37.7628190977332
100128517,CNI,Mountain to the Sea Cycle Trail,Gateway,1780282-5660535,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,,175.087351288853,-39.1857480867286
100128520,ESI,Hooker/Mueller tracks,Icon,1365949-5153894,Long term,"",Pedestrian Counter - Pad,"",Counter Electronic V,blue,2021-05-29,170.093869075281,-43.7310420910657
100128524,ESI,Hooker/Mueller tracks,Icon,1365174-5155709,Long term,"",Pedestrian Counter - Pad,"",Counter Electronic V,blue,2021-05-29,170.085050561856,-43.7144761468415
100128525,ESI,Aoraki/Mt Cook Village walks,Gateway,1366114-5153286,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-05-29,170.095650784714,-43.7365614870347
100128528,SSI,Otago Peninsula/Tunnel Beach walks,Local Treasure,1402517-4911847,Short term,Tunnel Beach,Pedestrian Counter - Pad,National,Counter Electronic V,yellow,2021-02-03,170.453312602744,-45.9185618531428
100128529,ESI,Mt Somers Track,Gateway,1463984-5169866,"","",Pedestrian Counter - Pad,"",Counter Electronic V,yellow,2020-11-12,171.314456539347,-43.6117639676063
100128539,ESI,Twizel activities,Local Treasure,1367885-5101121,"","",Vehicle Counter - Low Speed,"",Counter Electronic V,blue,2021-04-19,170.094819647363,-44.2061884163122
100128540,HWT,Egmont National Park backcountry,Back Country,1689750-5656497,"","",Pedestrian Counter - Pad,"",Counter Electronic V,blue,2021-04-22,174.039927621364,-39.2361937469136
100128542,HWT,Egmont National Park backcountry,Back Country,1692905-5651422,"","",Pedestrian Counter - Pad,"",Counter Electronic V,yellow,2021-03-26,174.077178045213,-39.2815841558956
100128543,HWT,Egmont National Park walks/picnic areas,Local Treasure,1694794-5648279,"","",Pedestrian Counter - Pad,"",Counter Electronic V,blue,2021-04-13,174.099519008612,-39.3096955297082
100128544,HWT,Egmont National Park backcountry,Back Country,1693323-5650518,"","",Pedestrian Counter - Pad,"",Counter Electronic V,yellow,2021-03-26,174.08214903986,-39.289683634424
100128549,LNI,Manawatu Gorge walk,Gateway,1836291-5533568,Long term,Past Whatonga on MG track,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-07,175.780820991209,-40.315003596509
100128565,NNI,Kaitaia walks,Local Treasure,1607597-6157398,"","",Pedestrian Counter - Pad,"",Counter Electronic V,blue,2021-06-17,173.082977089549,-34.725465006831
100128570,NSI,Abel Tasman Coast Track,Icon,1600052-5482250,Long term,Abel Tasman Coast tk - North,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-06-16,173.000616540262,-40.8107602463904
100128571,NSI,Mount Robert,Gateway,1584384-5369860,"","",Pedestrian Counter - Pad,"",Counter Electronic V,blue,2021-09-03,172.811961370806,-41.822986407785
100128572,SSI,Wanaka/Lake Hawea activities,Local Treasure,1301373-5069531,"","",Pedestrian Counter - Pad,"",Counter Electronic V,blue,2021-08-02,169.245825893579,-44.4658049722603
100128573,SSI,Coastal Catlins activities,Local Treasure,1301619-4825077,"","",Pedestrian Counter - Pad,"",Counter Electronic V,blue,2021-07-18,169.099658010031,-46.6613374986943
100128576,SSI,Milford Road Journey,Icon,1199896-5035543,Long term,The Chasm walk,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-17,167.947992891403,-44.7216366238169
100128577,SSI,Milford Sound/Piopiotahi,Icon,1197511-5041030,Long term,Milford foreshore walk,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-21,167.922308828073,-44.6711004032634
100128578,SSI,Te Anau/Eglinton SH94 activities,Local Treasure,1193536-4981575,Long term,Lake Mistletoe track,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-11,167.824572462675,-45.2019130581135
100128580,WSI,Pororari River Track,Gateway,1465436-5335570,Long term,Inland Pack Tk Pororari,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-27,171.372125993684,-42.1204313859916
100128582,WSI,Westport northern walks,Local Treasure,1512119-5395728,Long term,Charming Crk Walkway,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-27,171.945685865139,-41.5853096507417
100128583,WSI,Westport northern walks,Local Treasure,1512119-5395728,Long term,NORTHERN END,Bicycle Counter - Twin Rail,Regional,Counter Electronic V,blue,2021-07-23,171.945685865139,-41.5853096507417
100128585,WSI,Northern Lake Kaniere,Gateway,1447730-5260316,Short term,Lake to Wards road,Bicycle Counter - Twin Rail,Regional,Counter Electronic V,navy,2021-07-05,171.13806459155,-42.794572404742
100128586,WSI,Northern Lake Kaniere,Gateway,1446802-5261848,Long term,Kaniere Wards to Kennedy,Bicycle Counter - Twin Rail,Regional,Counter Electronic V,blue,2021-07-31,171.127138923099,-42.780598446684
100128588,WSI,Franz Josef activities,Local Treasure,1373600-5192307,Long term,Tatare Tunnels Walk,Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-03-31,170.204783928936,-43.387953290072
100128589,WSI,Franz Josef Glacier backcountry,Back Country,1376782-5187889,Long term,Chamois Track,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-20,170.242221507264,-43.4286419073955
100128590,WSI,Franz Josef activities,Local Treasure,1372047-5191212,Long term,Gallery Gorge Walk,Pedestrian Counter - Pad,Regional,Counter Electronic V,navy,2021-08-05,170.185176572492,-43.3973312132795
100128880,ESI,Peel Forest,Gateway,1460605-5138762,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,,171.264529275387,-43.8910683376349
100131699,SSI,Coastal Catlins activities,Local Treasure,1282499-4824298,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,,168.849840146116,-46.6595459743895
100131700,SSI,Queenstown activities,Local Treasure,1251174-5006372,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-26,168.573346194485,-45.0102443815023
100131702,SSI,Twelve Mile,Gateway,1246456-4999441,Long term,Bobs Cove,Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-03-08,168.508783266718,-45.0701107148323
100131706,SSI,Glenorchy/Kinloch activities,Local Treasure,1235227-5030422,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-06,168.388937650193,-44.7864348400692
100132202,NSI,Mt Richmond FP (Nelson/Pelorus access),Back Country,1638883-5424566,Long term,Pelorus Track,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-08-05,173.464654703391,-41.3294472257843
100132625,AKL,Outer Hauraki Gulf islands,Local Treasure,1760416-5958532,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-06-24,174.791283361371,-36.5051194991853
100132627,AKL,Aotea Track,Gateway,1816236-5989125,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,,175.405661324888,-36.2185729535649
100132628,AKL,Waiheke walks,Local Treasure,1794186-5929205,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,,175.175569940709,-36.7630554827646
100132634,CNI,Whakapapa Holiday Park & Village walks,Gateway,1818378-5656686,Long term,Box steps,Pedestrian Counter - Structure,Regional,Counter Electronic V,red,,175.529313085464,-39.2116647697831
100132638,CNI,Mountain to the Sea Cycle Trail,Gateway,1780282-5660535,Long term,"",Bicycle Counter - Twin Rail,Regional,Counter Electronic V,red,,175.087351288853,-39.1857480867286
100132643,ESI,Glentui,Gateway,1537393-5213629,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-03-04,172.229045275423,-43.22753347012
100132664,WSI,Pororari River Track,Gateway,1463745-5334784,Long term,Waikori exit end of trail,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-25,171.351493964767,-42.1272155411138
100132665,WSI,Pororari River Track,Gateway,1463745-5334784,Long term,Waikori exit end of trail,Bicycle Counter - Twin Rail,Regional,Counter Electronic V,blue,2021-07-25,171.351493964767,-42.1272155411138
100132666,ESI,Banks Peninsula backcountry,Back Country,1595740-5143308,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,,172.946987201638,-43.8633052154075
100132675,HWT,Whitianga walks,Local Treasure,1844229-5930400,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,2020-06-18,175.73532583806,-36.7407280256045
100132677,HWT,Kauaeranga Valley/Hotoritori  walks,Local Treasure,1833546-5891320,Long term,"",Bicycle Counter - Twin Rail,Regional,Counter Electronic V,blue,2021-06-12,175.627849707616,-37.095336271731
100132678,HWT,Thames Coast/Kauaeranga backcountry,Back Country,1834881-5892707,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-06-14,175.64242261841,-37.082513047561
100132679,WSI,Ship Creek,Icon,1290038-5147657,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-08-04,169.149553894847,-43.7592512431613
100132680,HWT,Kauaeranga Kauri Trail,Gateway,1841308-5896882,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,,175.713313612352,-37.0432880667385
100132681,WSI,Ship Creek,Icon,1289885-5147814,Long term,Dune Lake,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-08-05,169.147748143628,-43.7577768341584
100132682,WSI,Okuru-Jackson Bay activities,Local Treasure,1270820-5129902,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-01,168.900485685128,-43.9104204452859
100132683,HWT,Mt Karioi backcountry,Back Country,1797557-5818947,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,red,,175.242577210891,-37.7554752148836
100132684,WSI,Fox Glacier activities,Local Treasure,1343243-5189028,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-08-31,169.828977279636,-43.4076649809207
100132693,LNI,Waikanae walks,Local Treasure,1775065-5472945,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-06-30,175.077631754404,-40.8758675566634
100132694,LNI,Waikanae walks,Local Treasure,1768515-5491352,Long term,Mangaone Walkway,Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-08-10,174.994975137447,-40.7115217144358
100132695,NNI,Raetea Nth Camp/Mangamuka picnic areas,Local Treasure,1639664-6108124,Long term,"",Vehicle Counter - Low Speed,Regional,Counter Electronic V,red,,173.435562311258,-35.1690394730865
100132707,NSI,Queen Charlotte/Tory Channel activities,Local Treasure,1706802-5450021,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-07-14,174.27171284208,-41.0940704454022
100132709,NSI,Lake Rotoiti,Gateway,1587383-5370187,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,yellow,2021-03-30,172.848080378537,-41.8200945841404
100132714,WSI,Hokitika activities,Local Treasure,1446292-5273572,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-09-06,171.124090890271,-42.6749723993654
100132724,WSI,Hokitika backcountry:Kelly Range to Styx,Back Country,1456235-5253915,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-09-01,171.240379513857,-42.8538320392056
100132728,WSI,Okarito walks,Gateway,1369538-5210301,Long term,"",Pedestrian Counter - Pad,Regional,Counter Electronic V,blue,2021-04-13,170.162237206363,-43.2248877424877
100133500,WSI,Pororari River Track,Gateway,1465436-5335570,Long term,Pororari Punakaiki Loop,Bicycle Counter - Twin Rail,Regional,Counter Electronic V,blue,2021-07-27,171.372125993684,-42.1204313859916
100133628,SSI,West Dunedin walks,Local Treasure,1382365-4896950,Long term,Taieri River Mouth - Track,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-08-10,170.18695975372,-46.0463951339555
100133629,SSI,North Dunedin walks,Local Treasure,1410026-4921952,Long term,Grahams Bush Walk,Track,National,Counter Electronic V,blue,2021-06-17,170.554047464662,-45.829810821004
100134712,HWT,Egmont National Park backcountry,Back Country,1694464-5655038,Long term,Henry Peak Kaiauai Track,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-04-07,174.094743681305,-39.2488379320036
100135933,SSI,Glenorchy/Kinloch backcountry,Back Country,1236518-5035847,"","",Pedestrian Counter - Pad,"",Counter Electronic V,red,,168.40906986257,-44.7384114736838
