EquipmentNumber,Region,Destination,DMFCategory,StartGridRefEN,TypeofInstall,InstallLocation,TypeOf,CounterNetwork,CounterType,active,date,longitude,latitude
100097619,NNI,Puketi/Omahuta backcountry,Back Country,1667354-6101304,Long term,"Puketi Forest, Pukatea Track",Pedestrian Counter - Pad,National,Counter Electronic V,yellow,2020-11-18,173.740174267245,-35.2290564216905
100097620,NNI,Kerikeri Basin,Icon,1687688-6102283,Long term,Kororipo Pa Walk,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-05-17,173.963501761855,-35.2186574359961
100097621,NNI,Kerikeri walks,Local Treasure,1699786-6107713,Long term,Rangihoua / Marsden Cross,Pedestrian Counter - Pad,National,Counter Electronic V,red,2018-07-19,174.095754715572,-35.1685724457205
100097622,NNI,Wairakau Stream Track/Dukes Nose,Back Country,1665660-6122439,Long term,Wairakau Stream Track,Pedestrian Counter - Pad,National,Counter Electronic V,yellow,2020-10-27,173.719880352413,-35.0386045250463
100097623,NNI,Motukawanui Track/Hut,Local Treasure,1685718-6125732,Long term,Motukawanui Is Scenic Reserve,Pedestrian Counter - Pad,National,Counter Electronic V,yellow,2021-01-27,173.939428500661,-35.0074103071076
100097625,NNI,SH12 Dargaville - Brynderwyn walks,Local Treasure,1687921-6009109,Long term,Tokatoka Track,Pedestrian Counter - Pad,National,Counter Electronic V,blue,2021-05-12,173.976225028105,-36.0586181621535
100097627,NNI,Trounson,Gateway,1658622-6046769,Long term,Trounson Park Loop Walk,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-08-12,173.648155904974,-35.7213012310532
100097760,SSI,Coastal Catlins activities,Local Treasure,1336098-4842745,Long term,Purakaunui Falls Walk,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-07-26,169.559540127498,-46.5170924967705
100098048,SSI,Makarora/Haast (SH6) campsites and walks,Local Treasure,1301954-5103381,Long term,Blue Pools Track,Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-08-02,169.272441640417,-44.1619418495616
100098049,SSI,Wanaka/Lake Hawea activities,Local Treasure,1279618-5047886,Long term,Diamond Lake Track,Pedestrian Counter - Structure,National,Counter Electronic V,navy,2021-08-31,168.959533733269,-44.6508753528741
100098050,SSI,Grandview/Chain Hills backcountry,Back Country,1314465-5033412,Long term,"Grandview Ridge Tk, Long Gully",Pedestrian Counter - Structure,National,Counter Electronic V,red,2015-05-02,169.38999378554,-44.7956118089825
100098051,SSI,Grandview/Chain Hills backcountry,Back Country,1308565-5053077,Long term,"Grandview Mtn Track, Nook Rd",Pedestrian Counter - Pad,National,Counter Electronic V,navy,2021-06-29,169.326757363299,-44.6165646230998
100098264,ESI,Arthurs Pass and SH73 activities,Local Treasure,1488316-5234735,Long term,Bealey Spur Track,,National,Counter Electronic V,yellow,2021-02-10,171.629085201321,-43.0318629071177
